university,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
FACULTE DE MEDECINE DE TUNIS (FMT),,,,1726.0,,,,,,,,,,,,,,,,,,
FACULTE DES SCIENCES DE TUNIS (FST),1079.0,,1480.0,,,,1963.0,1798.0,,,1430.0,,,,,,,,1351.0,,,
FACULTY OF SCIENCES SFAX,,,1352.0,,,,,,,,1074.0,,,,,,,,,,,
FAEGRE BAKER DANIELS LLP,,,,3930.0,,,,,,,,,,,,,,,,,,
FAHRENHEIT UNIVERSITIES,581.0,685.0,347.0,758.0,,,458.0,504.0,,1091.0,641.0,,719.0,1106.0,,,543.0,,657.0,1011.0,1246.0,
FAIRFAX FAMILY PRACTICE RESIDENCY,,,,3493.0,,,,,,,,,,,,,,,,,,
FALUN HOSPITAL,,,,4485.0,,,,,,,,,,,,,,,,,,
FAMILY MED SAYEBROOK,,,,4777.0,,,,,,,,,,,,,,,,,,
FAR EAST BRANCH OF THE RUSSIAN ACADEMY OF SCIENCES,,,,,,,,,,,,,,,,,,,1402.0,,,
FAR EASTERN FEDERAL UNIVERSITY,,,,,,,,,,,1467.0,,,,,,,,1697.0,,,
FAR EASTERN MEMORIAL HOSPITAL,,,,2408.0,,,,,,,,,,,,,,,,,,
FAR WESTERN UNIV,,,,3252.0,,,,,,,,,,,,,,,,,,
FARABI EYE HOSPITAL,,,,6381.0,,,,,,,,,,,,,,,,,,
FARADAY INST,,,,,,,2387.0,,,,1492.0,,,,,,,,,,,
"FARMLAND IRRIGATION RESEARCH INSTITUTE, CAAS",1311.0,,,,,,,,,,,,,,,,,,,,,
FARR INST,,,,5170.0,,,,,,,,,,,,,,,,,,
FASA UNIV MED SCI,,,,5369.0,,,,,,,,,,,,,,,,,,
FATHER MULLER MEDICAL COLLEGE,,,,2394.0,,,,,,,,,,,,,,,,,,
"FAVORSKY IRKUTSK INSTITUTE OF CHEMISTRY, SIBERIAN BRANCH OF RAS",,,1805.0,,,,,,,,,,,,,,,,,,,
FAY WEST FAMILY PRACTICE,,,,4777.0,,,,,,,,,,,,,,,,,,
FAYOUM UNIVERSITY,1027.0,,1755.0,6071.0,,,1240.0,,,,,,,,,,,922.0,1182.0,,,
FDA CENTER FOR TOBACCO PRODUCTS (CTP),,,,4255.0,,,,,,,,,,,,,,,,,1166.0,
FDN ARTURO LOPEZ PEREZ,,,,3480.0,,,,,,,,,,,,,,,,,,
FDN CARDINALE GIOVANNI PANICO HOSP,,,,3987.0,,,,,,,,,,,,,,,,,,
FDN CARIBE INVESTIGAC BIOMED,,,,4134.0,,,,,,,,,,,,,,,,,,
FDN ENTORNOS AC,,,,3546.0,,,,,,,,,,,,,,,,,,
FDN FONDAMENTAL,,,,,,,,,,,,,,,,,,,,1033.0,,
FDN INFANT,,,,3004.0,,,,,,,,,,,,,,,,,,
FDN IRCCS CASA SOLLIEVO SOFFERENZA,,,,5829.0,,,,,,,,,,,,,,,,,,
FDN JIMENEZ DIAZ,,,,2683.0,,,,,,,,,,,,,,,,,,
FDN JIMENEZ DIAZ UNIV HOSP,,,,2562.0,,,,,,,,,,,,,,,,,,
FDN MERIEUX,,,,4698.0,,,,,,,,,,,,,,,,,,
FDN OFTALMOL SANTANDER,,,,3586.0,,,,,,,,,,,,,,,,,,
FDN OFTALMOLOG SANTANDER,,,,4692.0,,,,,,,,,,,,,,,,,,
FDN POLIAMBULANZA,,,,3675.0,,,,,,,,,,,,,,,,,,
FDN SCI RES FORS,,,,5763.0,,,,,,,,,,,,,,,,,,
FDN TOSCANA G MONASTERIO,,,,5852.0,,,,,,,,,,,,,,,,,,
FDN TOSCANA GABRIELE MONASTERIO,,,,4127.0,,,,,,,,,,,,,,,,,,
FDN UNIV,,,,2015.0,,,,,,,,,,,,,,,,,,
FED ENVIRONM AGCY,,,,4311.0,,,,,,,,,,,,,,,,,,
FED INST EDUC SCI & TECHNOL,,,,3602.0,,,,,,,,,,,,,,,,,,
FED INST GEOSCI & NAT RESOURCES BGR,,,,,,,,,1169.0,,,,,,,,,,,,,
FED INST HYDROL,,,,,,,,1680.0,,,,,,,,,,,,,,
FED INST POPULAT RES,,,,875.0,,,,,,,,,,,,990.0,,,,,,
FED MED CTR,,,,3504.0,,,,,,,,,,,,,,,,,,
FED MINIST HLTH,,,,1423.0,,,,,,,,,,,,,,,,,,
FED MINIST HLTH & WOMENS AFFAIRS,,,,6344.0,,,,,,,,,,,,,,,,,,
FED POLYTECH SCH LAUSANNE,,,,2837.0,,,,,,,,,,,,,,,,,,
FED RES INST HLTH ORG & INFORMAT,,,,3901.0,,,,,,,,,,,,,,,,,,
FED TEACHING HOSP,,,,1149.0,,,,,,,,,,,,,,,,,,
FED TEACHING HOSP ABAKALIKI,,,,4057.0,,,,,,,,,,,,,,,,,,
FED UNIV PELOTA,,,,6433.0,,,,,,,,,,,,,,,,,,
FED UNIV TECHNOL,,,,,,,2388.0,,,,,,,,,,,,,,,
FED UNIV TECHNOL AKURE,1112.0,,,,,,1858.0,,,,,,,,,,,,,,,
FEDERAL CENTER OF THEORETICAL & APPLIED SOCIOLOGY - FCTAS,,,,2179.0,,,,,,,,,,,,,,,,,,
FEDERAL INSTITUTE FOR MATERIALS RESEARCH & TESTING,,,843.0,,,,1603.0,1871.0,,,771.0,,,,,,,,,,,
FEDERAL INSTITUTE FOR RISK ASSESSMENT,833.0,,,,,,,,,,,,,,,,523.0,,1759.0,,,
FEDERAL MINISTRY OF HEALTH - ETHIOPIA (FMOH),,,,5715.0,,,,,,,,,,,,,,,,,,
FEDERAL OFFICE OF METEOROLOGY & CLIMATOLOGY (METEOSWISS),,,,,,,,,807.0,,,,,,,,,,,,,
FEDERAL RESERVE BANK - NEW YORK,,,,,,408.0,,,,,,,,,,,,,,,,
"FEDERAL SCIENTIFIC CENTER OF THE EAST ASIA TERRESTRIAL BIODIVERSITY, FAR EASTERN BRANCH OF THE RUSSIAN ACADEMY OF SCIENCES",,,,,,,,,,,,,,,,,,,1402.0,,,
FEDERAL URDU UNIVERSITY OF ARTS SCIENCE & TECHNOLOGY,,,,,,,2537.0,,,,,,,,,,,,,,,
FEDERAT WALLONIE BRUXELLES,,,,,,,,,,,,,,,,,,,1751.0,,,
FEDERATION UNIVERSITY AUSTRALIA,,,,1653.0,,,1497.0,1904.0,,,,,,,,,,,,961.0,1057.0,
"FEED RESEARCH INSTITUTE, CAAS",,,,,,,,,,,,,,,,,,,1109.0,,,
FEINBERG SCHOOL OF MEDICINE,,387.0,,108.0,,,,,,137.0,1138.0,,556.0,151.0,,124.0,506.0,,,253.0,277.0,
FENG CHIA UNIVERSITY,,,1817.0,,850.0,,920.0,,,,1133.0,,,,,,,,,,,
FENGXIAN GUHUA HOSP,,,,6624.0,,,,,,,,,,,,,,,,,,
FENWAY HEALTH,,,,5103.0,,,,,,,,,,,,,,,,1138.0,1082.0,
FEPREVA,,,,4777.0,,,,,,,,,,,,,,,,,,
FERDOWSI UNIVERSITY MASHHAD,316.0,,706.0,,643.0,,310.0,1118.0,1062.0,,920.0,,,,,,1378.0,,830.0,,1812.0,
FERMI NATIONAL ACCELERATOR LABORATORY,,,,,,,,,,,,,,,,,,187.0,,,,225.0
FERN UNIVERSITY HAGEN,,,,,,,,,,,,,,,,,,,,1021.0,2333.0,
FHI 360,,,,3275.0,,,,,,,,,,,,,,,,,1418.0,
FIELD MUSEUM OF NATURAL HISTORY (CHICAGO),,,,,,,,918.0,,,,,,,,,,,377.0,,,
FIFA MED CTR EXCELLENCE,,,,6556.0,,,,,,,,,,,,,,,,,,
FIFTH MEDICAL CENTER OF CHINESE PLA GENERAL HOSPITAL,,,,2253.0,,,,,,,,,,,,,1247.0,,,,,
FIJI NATIONAL UNIVERSITY (FNU),,,,4083.0,,,,,,,,,,,,,,,,,,
FIMLAB LABS,,,,5563.0,,,,,,,,,,1083.0,,,,,,,,
FINLAND NATIONAL INSTITUTE FOR HEALTH & WELFARE,976.0,1194.0,,1025.0,,,,1559.0,,786.0,,,720.0,498.0,,1105.0,,,1445.0,532.0,635.0,
FINNISH CANCER REGISTRY,,,,4110.0,,,,,,,,,,,,,,,,,,
FINNISH ENVIRONMENT INSTITUTE,,,,,,,2643.0,411.0,1056.0,,,,,,,,,,881.0,,1181.0,
FINNISH GEOSPATIAL RESEARCH INSTITUTE (FGI),,,,,,,,,944.0,,,,,,,,,,,,,
FINNISH INST HLTH & WELF,,,,2846.0,,,,,,,,,,,,,,,,,1989.0,
FINNISH INSTITUTE OF OCCUPATIONAL HEALTH,,,,781.0,,,,,,,,,,,,1063.0,,,,1060.0,616.0,
FINNISH METEOROLOGICAL INSTITUTE,,,,,,,,898.0,183.0,,,,,,,,,,,,,
FINNISH MUSEUM NAT,,,,,,,,,,,,,,,,,,,1533.0,,,
FINNISH RED CROSS BLOOD SERV,,1559.0,,,,,,,,,,,,,,,,,,,,
FIOCRUZ - RESEARCH CENTER RENE RACHOU,,,,2976.0,,,,,,1157.0,,,,,,,,,,,,
FIONA STANLEY FREMANTLE HOSPITALS GROUP,,,,1462.0,,,,,,,,,,,,,,,,,,
FIONA STANLEY HOSPITAL,,,,1669.0,,,,,,,,,,,,,,,,,,
FIRAT UNIVERSITY,,,,3750.0,693.0,,609.0,,,,,,,,,,,,1755.0,,,
FIRMENICH,,,,,,,,,,,,,,,,,1363.0,,,,,
FIRST HOSP CHANGSHA,,,,2697.0,,,,,,,,,,,,,,,,,,
"FIRST INSTITUTE OF OCEANOGRAPHY, MINISTRY OF NATURAL RESOURCES",,,,,,,,1106.0,494.0,,,,,,,,,,1441.0,,,
FIRST PEOPLES HOSP CHANGZHOU,,,,6305.0,,,,,,,,,,,,,,,,,,
FIRST PEOPLES HOSP FOSHAN,,,,3679.0,,,,,,,,,,,,,,,,,,
FISHERIES & OCEANS CANADA,,,,,,,,429.0,496.0,,,,,,,,,,241.0,,,
FLANDERS INSTITUTE FOR BIOTECHNOLOGY (VIB),,191.0,,1189.0,,,,,,201.0,,,251.0,150.0,,333.0,802.0,,172.0,,,
FLANDERS MAKE,,,,,,,1448.0,,,,,,,,,,,,,,,
FLANDERS MARINE INSTITUTE VLIZ,,,,,,,,,974.0,,,,,,,,,,,,,
FLATIRON INSTITUTE,,,,,,,,,,,,,,,,,,675.0,,,,106.0
FLEMISH AGCY CARE & HLTH,,,,6033.0,,,,,,,,,,,,,,,,,,
FLENI,,,,,,,,,,,,,,,,1158.0,,,,,,
FLEVOZIEKENHUIS,,,,6257.0,,,,,,,,,,,,,,,,,,
FLINDERS MEDICAL CENTRE,,,,1518.0,,,,,,,,,,,,,,,,,,
FLINDERS UNIVERSITY SOUTH AUSTRALIA,668.0,1008.0,1265.0,394.0,,,1191.0,660.0,815.0,766.0,922.0,,,978.0,,586.0,812.0,,458.0,243.0,259.0,
FLOATING HOSPITAL FOR CHILDREN,,,,6717.0,,,,,,,,,,,,,,,,,,
FLOREY INSTITUTE OF NEUROSCIENCE & MENTAL HEALTH,,616.0,,248.0,,,,,,280.0,,,660.0,495.0,,81.0,442.0,,,312.0,1038.0,
FLORIDA A&M UNIVERSITY,,,1621.0,,,,1758.0,,,,1306.0,,,,,,,,,,,
FLORIDA ATLANTIC UNIVERSITY,,,,2798.0,404.0,431.0,1585.0,1824.0,,,,,,,,919.0,,,1127.0,707.0,742.0,
FLORIDA CANCER SPECIALISTS,,,,2091.0,,,,,,,,,,,,,,,,,,
FLORIDA DEPARTMENT OF HEALTH,,,,5977.0,,,,,,,,,,,,,,,,,,
FLORIDA DEPT AGR & CONSUMER SERV,,,,,,,,,,,,,,,,,,,1819.0,,,
FLORIDA FISH & WILDLIFE CONSERVATION COMMISSION,,,,,,,,1761.0,,,,,,,,,,,1034.0,,,
FLORIDA INST CLIN RES,,,,4777.0,,,,,,,,,,,,,,,,,,
FLORIDA INSTITUTE OF TECHNOLOGY,,,2121.0,,,,2254.0,1878.0,,,,,,,,,,744.0,,,,
FLORIDA INTERNATIONAL UNIVERSITY,,1093.0,802.0,1296.0,530.0,349.0,699.0,280.0,743.0,,1371.0,,,,,696.0,1103.0,687.0,575.0,256.0,366.0,
FLOWMINDER FDN,,,,,,,,,,,,,,,,,,,,,2040.0,
FOCUS CLIN RES,,,,4396.0,,,,,,,,,,,,,,,,,,
FOLKHALSAN RESEARCH CENTER,,,,1261.0,,,,,,,,,,795.0,,,,,,,1698.0,
FOM (THE NETHERLANDS),,,1888.0,,,,,,,,,,,,,,,107.0,,,,
FOM NATIONAL INSTITUTE FOR SUBATOMIC PHYSICS,,,,,,,,,,,,,,,,,,133.0,,,,
FOM UNIV,,,,3385.0,,,,,,,,,,,,,,,,,,
FONDATION ADOLPHE DE ROTHSCHILD,,,,4451.0,,,,,,,,,,,,,,,,,,
FONDAZIONE BRUNO KESSLER,,,,4369.0,560.0,,1854.0,,,,,,,,,,,937.0,,,2060.0,
FONDAZIONE CENCI BOLOGNETTI,,,,5297.0,,,,,,1064.0,,,,,,,,,,,,
FONDAZIONE CITTA DELLA SPERANZA,,,,6325.0,,,,,,,,,,,,,,,,,,
FONDAZIONE EDMUND MACH,500.0,,,6107.0,,,,1003.0,,,,,734.0,,,,,,527.0,,,
FONDAZIONE IRCCS ISTITUTO NAZIONALE TUMORI MILAN,,1129.0,,305.0,,,,,,812.0,,,,733.0,,,1383.0,,,,2071.0,
FONDAZIONE IRCCS ISTITUTO NEUROLOGICO CARLO BESTA,,,,1703.0,,,,,,,,,,1020.0,,315.0,,,,,1856.0,
FONDAZIONE IRCCS SAN GERARDO DEI TINTORI,,,,5281.0,,,,,,,,,,,,,,,,,,
FONDAZIONE MATTEI,,,,,,,,,,,,,,,,,,,,,1221.0,
FONDAZIONE POLIAMBULANZA DI BRESCIA,,,,5897.0,,,,,,,,,,,,,,,,,,
FONDAZIONE POLICLINICO UNIVERSITARIO CAMPUS BIO-MEDICO,,,,3891.0,,,,,,,,,,,,,,,,,,
FONDAZIONE TELETHON,,1565.0,,3200.0,,,,,,1070.0,,,,551.0,,,,,,,,
FONDS DE LA RECHERCHE SCIENTIFIQUE - FNRS,,,,,,,,1893.0,,,,,,,,,,,,,1740.0,
FONTERRA,1192.0,,,,,,,,,,,,,,,,,,,,,
FONTYS UNIV APPL SCI,,,,,,,,,,,,,,,,,,,,,2307.0,
FOOD & AGRICULTURE ORGANIZATION OF THE UNITED NATIONS (FAO),388.0,,,1962.0,,,,692.0,764.0,,,,,,,,,,456.0,,1123.0,
FOOD & DRUG ADM ISLAMIC REPUBL IRAN,,,,3170.0,,,,,,,,,,,,,,,,,,
FOOD & ENVIRONMENT RESEARCH AGENCY,,,,,,,,,,,,,,,,,,,1670.0,,,
FOOD & NUTRITION RESEARCH INSTITUTE - PHILIPPINES,,,,6396.0,,,,,,,,,,,,,,,,,,
FORD MOTOR COMPANY,,,,,,,1456.0,,,,,,,,,,,,,,,
FORDHAM UNIVERSITY,,,,5994.0,807.0,401.0,,,,,,,,,,,,,,416.0,734.0,
FOREST RES,,,,,,,,,,,,,,,,,,,1658.0,,,
FOREST RESEARCH INSTITUTE,,,,,,,,,,,,,,,,,,,1430.0,,,
FORESTRY & FOREST PRODUCTS RESEARCH INSTITUTE - JAPAN,,,,,,,,825.0,,,,,,,,,,,736.0,,,
FORO ITALICO UNIVERSITY OF ROME,,,,3279.0,,,,,,,,,,,,,,,,,,
FORSCHUNGSINSTITUT FUR NUTZTIERBIOLOGIE (FBN),,1254.0,,,,,,,,,,,,,,,,,1620.0,,,
FORSCHUNGSZENTRUM BORSTEL,,,,4016.0,,,,,,619.0,,,,,,,,,,,,
FORSCHUNGSZENTRUM JULICH,,,1485.0,,,,2693.0,,,,,,,,,,,,,,,
FORSKNINGSCTR NORDSJAELLANDS HOSP,,,,4777.0,,,,,,,,,,,,,,,,,,
FORSYTH INSTITUTE,,,,3606.0,,,,,,,,,,,,,,,,,,
FORTH VALLEY ROYAL HOSP,,,,6702.0,,,,,,,,,,,,,,,,,,
FORTIS ESCORTS HOSPITAL,,,,3078.0,,,,,,,,,,,,,,,,,,
FORTIS HOSP,,,,2424.0,,,,,,,,,,,,,,,,,,
FOSHAN UNIVERSITY,734.0,,1290.0,,,,821.0,1019.0,,,619.0,,,,,,,,818.0,,,
FOSHAN XIANHU LABORATORY,,,2126.0,,,,,,,,1128.0,,,,,,,,,,,
FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS,,,,4028.0,,,,,,1100.0,,,,,,,,,,,,
FOUNDATION FOR RESEARCH & TECHNOLOGY - HELLAS (FORTH),,,1279.0,3641.0,,,2238.0,,802.0,,1429.0,,,1124.0,,,,,1716.0,,,
FOUNDATION MEDICINE,,,,1679.0,,,,,,,,,,,,,,,,,,
FOUR RIVERS CLIN RES,,,,4591.0,,,,,,,,,,,,,,,,,,
FOURTH VIEW CONSULTING,,,,3580.0,,,,,,,,,,,,,,,,,,
FOWEY RIVER PRACTICE,,,,4777.0,,,,,,,,,,,,,,,,,,
FOX CHASE CANCER CENTER,,,,471.0,,,,,,1115.0,,,,670.0,,,,,,,2159.0,
FRAMINGHAM HEART STUDY,,,,1771.0,,,,,,,,,,508.0,,940.0,,,,,,
FRANCE IX SERV,,,,,417.0,,,,,,,,,,,,,,,,,
FRANCIS CRICK INSTITUTE,,360.0,,1517.0,,,,,,327.0,,,505.0,175.0,,,,,,,,
FRANCISCUS GASTHUIS,,,,2192.0,,,,,,,,,,,,,,,,,,
FRANCISZEK GORSKI INSTITUTE OF PLANT PHYSIOLOGY POLISH ACADEMY OF SCIENCES,,,,,,,,,,,,,,,,,,,1698.0,,,
FRANKFURT SCHOOL FINANCE & MANAGEMENT,,,,,,448.0,,,,,,,,,,,,,,,,
FRANKFURT UNIV APPL SCI,,,,1586.0,,,,,,,,,,,,,,,,,,
FRANKSTON HOSPITAL,,,,5827.0,,,,,,,,,,,,,,,,,,
FRAUNHOFER GERMANY,670.0,764.0,643.0,2744.0,790.0,,277.0,1130.0,,953.0,308.0,,,,,,723.0,857.0,1378.0,,808.0,
FRAUNHOFER GESELLSCHAFT,631.0,679.0,543.0,2362.0,446.0,,205.0,1024.0,,895.0,248.0,,,,,,682.0,752.0,1281.0,,790.0,
FRAUNHOFER INSTITUTE OF SOLAR ENERGY SYSTEMS,,,,,,,732.0,,,,1485.0,,,,,,,,,,,
FRAUNHOFER MEVIS,,,,5576.0,,,,,,,,,,,,,,,,,,
FRAUNHOFER MOLECULAR BIOLOGY & APPLIED ECOLOGY,,1377.0,,,,,,,,,,,,,,,,,1763.0,,,
FRAUNHOFER PROCESS ENGINEERING & PACKAGING,874.0,,,,,,,,,,,,,,,,,,,,,
FRAUNHOFER SYSTEMS & INNOVATION RESEARCH,,,,,,,,,,,,,,,,,,,,,949.0,
FRAUNHOFER TOXICOLOGY & EXPERIMENTAL MEDICINE,,,,5278.0,,,,,,,,,,,,,,,,,,
FRED & PAMELA BUFFETT CANC CTR,,,,1777.0,,,,,,,,,,,,,,,,,,
FRED HOLLOWS FDN NEW ZEALAND,,,,3944.0,,,,,,,,,,,,,,,,,,
FRED HOLLOWS FOUNDATION,,,,2685.0,,,,,,,,,,,,,,,,,,
FRED HUTCHINSON CANCER CENTER,,355.0,,178.0,,,,,,106.0,,,239.0,127.0,209.0,924.0,1112.0,,,,533.0,
FREDERICK NATIONAL LABORATORY FOR CANCER RESEARCH,,748.0,2025.0,1435.0,,,,,,402.0,,,383.0,405.0,,,1154.0,,,,,
FREDERIKSBERG UNIV HOSP,,,,2104.0,,,,,,,,,,,,,,,,,,
FREE UNIVERSITY OF BOZEN-BOLZANO,620.0,,,,,345.0,1221.0,1197.0,,,,,,,,,,,1292.0,,1118.0,
FREMANTLE HOSPITAL,,,,4315.0,,,,,,,,,,,,,,,,,,
FRENCH INST HLTH SURVEILLANCE,,,,6025.0,,,,,,,,,,,,,,,,,,
FRENCH PUBL HLTH AGCY,,,,4325.0,,,,,,,,,,,,,,,,,,
FRESENIUS MED CARE,,,,5812.0,,,,,,,,,,,,,,,,,,
FRESHWATER AQUACULTURE COLLABORAT INNOVAT CTR HUB,,,,,,,,,,,,,,,,,,,1899.0,,,
"FRESHWATER FISHERIES RESEARCH CENTER, CAFS",,,,,,,,,,,,,,,,,,,962.0,,,
FRESNO INC,,,,4777.0,,,,,,,,,,,,,,,,,,
FRIEDMAN SCH NUTR SCI & POLICY,,,,4738.0,,,,,,,,,,,,,,,,,,
FRIEDRICH LOEFFLER INSTITUTE,,,,,,,,,,797.0,,,179.0,,,,,,576.0,,,
FRIEDRICH MIESCHER INSTITUTE FOR BIOMEDICAL RESEARCH,,1431.0,,,,,,,,,,,,720.0,,983.0,,,,,,
FRIEDRICH SCHILLER UNIVERSITY OF JENA,780.0,393.0,459.0,423.0,,,1687.0,416.0,620.0,547.0,494.0,,222.0,555.0,,391.0,554.0,398.0,420.0,400.0,680.0,
FRIESLANDCAMPINA,1084.0,,,3945.0,,,,,,,,,,,,,,,,,,
FRIMLEY PK HOSP,,,,5754.0,,,,,,,,,,,,,,,,,,
FRITZ HABER INSTITUTE OF THE MAX PLANCK SOCIETY,,,404.0,,,,,,,,996.0,,,,,,,,,,,
FROEDTERT & MED COLL WISCONSIN,,,,6334.0,,,,,,,,,,,,,,,,,,
FRONTIER SCIENCE FOUNDATION,,,,3824.0,,,,,,,,,,,,,,,,,,
FRUMKIN INSTITUTE OF PHYSICAL CHEMISTRY & ELECTROCHEMISTRY,,,1280.0,,,,,,,,,,,,,,,,,,,
FSRC CRYSTALLOGRAPHY & PHOTONICS RAS,,,1675.0,,,,,,,,,,,,,,,,,,,
FU JEN CATHOLIC UNIVERSITY,1336.0,,,1490.0,,,,,,,,,,,,,1182.0,,,,1608.0,
FU JEN CATHOLIC UNIVERSITY HOSPITAL,,,,5234.0,,,,,,,,,,,,,,,,,,
FU WAI HOSPITAL - CAMS,,,,689.0,,,,,,,,,,1087.0,,,,,,,,
FUJIAN ACADEMY OF AGRICULTURAL SCIENCES,1140.0,,,,,,,,,,,,,,,,,,1244.0,,,
FUJIAN AGRICULTURE & FORESTRY UNIVERSITY,69.0,736.0,703.0,,,,904.0,525.0,,,951.0,,322.0,935.0,,,1023.0,,88.0,,,
FUJIAN CANC HOSP,,,,4278.0,,,,,,,,,,,,,,,,,,
"FUJIAN INSTITUTE OF RESEARCH ON THE STRUCTURE OF MATTER, CAS",,,91.0,,,,1231.0,,,,194.0,,,,,,,,,,,
FUJIAN MEDICAL UNIVERSITY,,775.0,1108.0,619.0,,,,,,814.0,1338.0,,,658.0,,782.0,370.0,,,,1963.0,
FUJIAN NORMAL UNIVERSITY,653.0,,561.0,6359.0,289.0,,768.0,668.0,1026.0,,509.0,,,,,,,,1482.0,,1537.0,
FUJIAN PROV CANC HOSP,,,,4476.0,,,,,,,,,,,,,,,,,,
FUJIAN PROVINCIAL HOSPITAL,,,,2950.0,,,,,,,,,,,,,,,,,,
FUJIAN SCIENCE & TECHNOLOGY INNOVATION LABORATORY FOR OPTOELECTRONIC INFORMATION OF CHINA,,,1544.0,,,,,,,,1109.0,,,,,,,,,,,
FUJIAN UNIVERSITY OF TECHNOLOGY,,,,,686.0,,1118.0,,,,1359.0,,,,,,,,,,,
FUJIAN UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,,,,3553.0,,,,,,,,,,,,,1036.0,,,,,
FUJIKOSHI HOSP,,,,4774.0,,,,,,,,,,,,,,,,,,
FUJITA HEALTH UNIVERSITY,,,,1039.0,,,,,,,,,,,,676.0,,,,,,
FUJITSU LTD,,829.0,,,,,,,,,,,,,,,,,,,,
FUKUOKA SANNO HOSP,,,,4422.0,,,,,,,,,,,,,,,,,,
FUKUOKA UNIVERSITY,,,,1887.0,,,,,,,,,,,,,,,,,,
FUKUSHIMA MEDICAL UNIVERSITY,,,,1452.0,,,,,,,,,,,,649.0,,,,,2026.0,
FUNDACAO CHAMPALIMAUD,,,,1891.0,,,,,,,,,,,,939.0,,,,,,
FUNDACAO OSWALDO CRUZ,1126.0,593.0,1360.0,704.0,,,,1355.0,,136.0,,,105.0,685.0,,,397.0,,650.0,,360.0,
FUNDACAO UNIVERSITARIA DE CARDIOLOGIA,,,,5034.0,,,,,,,,,,,,,,,,,,
FUNDACIO INSTITUT D'INVESTIGACIO EN CIENCIES DE LA SALUT GERMANS TRIAS I PUJOL (IGTP),,1332.0,,4239.0,,,,,,,,,,,,,,,,,,
FUNDACIO PUIGVERT,,,,2287.0,,,,,,,,,,,,,,,,,,
FUNDACION CARDIOINFANTIL - INSTITUTO DE CARDIOLOGIA,,,,4509.0,,,,,,,,,,,,,,,,,,
FUNDACION JIMENEZ DIAZ,,1219.0,,1074.0,,,,,,,,,,,,,,,,,,
FUNDACION VALLE DEL LILI,,,,3394.0,,,,,,,,,,,,,,,,,,
FUTURE UNIVERSITY IN EGYPT,,,,,,,1052.0,,,,,,,,,,1282.0,,,,,
FUZHOU UNIVERSITY,423.0,1288.0,54.0,4454.0,175.0,,162.0,778.0,740.0,,135.0,,,,,,1212.0,824.0,,,1628.0,
G D'ANNUNZIO UNIVERSITY OF CHIETI-PESCARA,1002.0,988.0,1361.0,944.0,,,2246.0,1817.0,1045.0,,,,,917.0,,453.0,378.0,,,452.0,1338.0,
G. A. KRESTOV INSTITUTE OF SOLUTION CHEMISTRY OF THE RUSSIAN ACADEMY OF SCIENCES,,,1598.0,,,,,,,,,,,,,,,,,,,
GACHON UNIVERSITY,718.0,939.0,797.0,1010.0,,,1017.0,1486.0,,,617.0,,,,,1071.0,436.0,,,,1620.0,
GADJAH MADA UNIVERSITY,1278.0,,,3079.0,,,2067.0,,,,,,,,,,,,1749.0,,1549.0,
GALANAKIS LABS,1328.0,,,,,,,,,,,,,,,,,,,,,
GALDAKAO HOSPITAL,,,,3311.0,,,,,,,,,,,,,,,,,,
GALLIPOLI MEDICAL RESEARCH FOUNDATION,,,,3950.0,,,,,,,,,,,,,,,,,,
GANDHI INSTITUTE OF TECHNOLOGY & MANAGEMENT (GITAM),,,2016.0,,,,1952.0,,,,,,,,,,,,,,,
GANDHI MED COLL BHOPAL,,,,1782.0,,,,,,,,,,,,,,,,,,
GANDHIGRAM RURAL INSTITUTE,,,2038.0,,,,2559.0,,,,,,,,,,,,,,,
GANGNEUNG-WONJU NATIONAL UNIVERSITY,1359.0,,,,,,,,,,,,,,,,,,,,,
GANNAN MEDICAL UNIVERSITY,,,,4113.0,,,,,,,,,,,,,,,,,,
GANNAN NORMAL UNIVERSITY,,,1372.0,,,,,,,,,,,,,,,,,,,
GANSU ACADEMY OF AGRICULTURAL SCIENCES,1262.0,,,,,,,,,,,,,,,,,,,,,
GANSU AGRICULTURAL UNIVERSITY,303.0,,,,,,,1684.0,,,,,,,,,,,529.0,,,
GANSU PROV HOSP,,,,4026.0,,,,,,,,,,,,,,,,,,
GANSU UNIVERSITY OF CHINESE MEDICINE,,,,5598.0,,,,,,,,,,,,,,,,,,
GARTNAVEL ROYAL HOSPITAL,,,,4274.0,,,,,,,,,,,,,,,,,,
GARVAN INSTITUTE OF MEDICAL RESEARCH,,755.0,,1356.0,,,,,,427.0,,,,427.0,,,,,,,,
GAZI UNIVERSITY,803.0,,1354.0,1420.0,,,669.0,,,,966.0,,,,,,590.0,,,,1402.0,
